date,open,high,low,close,volume
2014-01-01,116.65987018689,115.54142073397,110.39655325053,111.96238248462,15862
2014-01-02,111.96238248462,117.10724996806,106.81751500119,117.10724996806,28467
2014-01-05,117.10724996806,120.01521854565,112.40976226579,118.44938931156,65735
2014-01-06,118.44938931156,119.79152865507,114.87035106221,118.89676909273,25538
2014-01-07,118.89676909273,119.56783876448,116.65987018689,119.56783876448,22161
2014-01-08,119.56783876448,124.9363961385,118.89676909273,123.594256795,38768
2014-01-09,123.594256795,123.37056690441,119.12045898331,122.02842756091,20109
2014-01-12,122.02842756091,124.9363961385,121.58104777974,122.47580734207,24734
2014-01-13,122.47580734207,124.26532646675,121.13366799857,124.26532646675,19617
2014-01-14,124.26532646675,125.83115570084,123.14687701383,125.83115570084,32504
2014-01-16,125.83115570084,125.38377591967,121.35735788915,123.37056690441,19341
2014-01-19,123.37056690441,124.48901635733,119.56783876448,124.48901635733,29053
2014-01-20,124.48901635733,129.85757373135,123.37056690441,125.60746581025,81646
2014-01-21,125.60746581025,125.38377591967,122.25211745149,122.92318712324,11260
2014-01-22,122.92318712324,122.69949723266,119.3441488739,120.6862882174,13817
2014-01-23,120.6862882174,122.02842756091,118.67307920214,121.13366799857,13779
2014-01-26,121.13366799857,130.5286434031,121.13366799857,126.278535482,40298
2014-01-27,126.278535482,126.50222537259,122.47580734207,123.37056690441,9937
2014-01-28,123.37056690441,125.60746581025,120.23890843623,125.38377591967,26031
2014-01-29,125.38377591967,127.39698493493,124.48901635733,126.278535482,29804
2014-02-02,126.278535482,125.60746581025,122.25211745149,123.37056690441,8622
2014-02-03,123.37056690441,125.38377591967,120.01521854565,125.38377591967,16945
2014-02-04,125.38377591967,125.38377591967,121.35735788915,125.38377591967,14068
2014-02-05,125.38377591967,123.81794668558,122.02842756091,123.81794668558,8624
2014-02-06,123.81794668558,125.83115570084,123.37056690441,124.9363961385,18213
2014-02-09,124.9363961385,125.83115570084,122.92318712324,125.60746581025,31751
2014-02-10,125.60746581025,136.79196033946,128.96281416901,130.08126362193,52878
2014-02-11,130.08126362193,130.30495351252,127.84436471609,129.63388384077,29068
2014-02-12,129.63388384077,128.96281416901,125.60746581025,128.96281416901,10260
2014-02-13,128.96281416901,129.63388384077,126.50222537259,127.62067482551,14908
2014-02-16,127.62067482551,127.17329504434,123.37056690441,125.60746581025,12363
2014-02-17,125.60746581025,126.278535482,123.37056690441,124.9363961385,10000
2014-02-18,124.9363961385,126.05484559142,123.37056690441,125.60746581025,14557
2014-02-20,125.60746581025,127.84436471609,124.04163657616,126.94960515376,12477
2014-02-23,126.94960515376,130.08126362193,126.05484559142,127.84436471609,16883
2014-02-24,127.84436471609,130.30495351252,126.94960515376,127.84436471609,10633
2014-02-25,127.84436471609,127.84436471609,123.81794668558,127.84436471609,8159
2014-02-26,127.84436471609,127.84436471609,123.37056690441,127.17329504434,11856
2014-03-03,127.17329504434,125.60746581025,121.58104777974,125.60746581025,11330
2014-03-04,125.60746581025,124.26532646675,120.01521854565,123.37056690441,12645
2014-03-05,123.37056690441,124.48901635733,122.25211745149,123.594256795,13670
2014-03-06,123.594256795,123.81794668558,121.13366799857,122.25211745149,8096
2014-03-09,122.25211745149,122.25211745149,120.23890843623,120.46259832682,12131
2014-03-10,120.46259832682,121.13366799857,118.22569942098,121.13366799857,11578
2014-03-11,121.13366799857,119.56783876448,118.00200953039,118.00200953039,5775
2014-03-12,118.00200953039,118.44938931156,115.76511062455,118.44938931156,5270
2014-03-13,118.44938931156,119.12045898331,116.21249040572,118.89676909273,6624
2014-03-17,118.89676909273,117.77831963981,115.76511062455,116.65987018689,5748
2014-03-18,116.65987018689,115.98880051513,112.85714204696,115.54142073397,9587
2014-03-19,115.54142073397,121.13366799857,113.52821171871,121.13366799857,10946
2014-03-20,121.13366799857,120.6862882174,118.00200953039,118.00200953039,8516
2014-03-23,118.00200953039,121.80473767032,116.21249040572,121.80473767032,8169
2014-03-24,121.80473767032,127.84436471609,120.01521854565,127.17329504434,21201
2014-03-25,127.17329504434,125.60746581025,120.01521854565,123.37056690441,29739
2014-03-26,123.37056690441,131.87078274661,123.37056690441,131.87078274661,60736
2014-03-27,131.87078274661,134.10768165245,123.37056690441,125.38377591967,20209
2014-03-31,125.38377591967,123.81794668558,121.13366799857,123.37056690441,5218
2014-04-01,123.37056690441,124.26532646675,122.69949723266,124.26532646675,3932
2014-04-02,124.26532646675,124.26532646675,122.25211745149,123.14687701383,11115
2014-04-03,123.14687701383,123.37056690441,121.13366799857,122.02842756091,3927
2014-04-06,122.02842756091,123.37056690441,121.13366799857,121.35735788915,8848
2014-04-07,121.35735788915,121.80473767032,119.56783876448,121.13366799857,5197
2014-04-09,121.13366799857,120.90997810799,119.79152865507,120.90997810799,5534
2014-04-10,120.90997810799,121.80473767032,121.13366799857,121.13366799857,3389
2014-04-13,121.13366799857,122.25211745149,120.01521854565,122.25211745149,5766
2014-04-15,122.25211745149,121.13366799857,120.01521854565,120.46259832682,8445
2014-04-16,120.46259832682,120.6862882174,119.3441488739,120.6862882174,5706
2014-04-17,120.6862882174,120.90997810799,119.3441488739,120.23890843623,11560
2014-04-20,120.23890843623,120.23890843623,117.77831963981,118.89676909273,7619
2014-04-21,118.89676909273,119.12045898331,117.10724996806,118.22569942098,4512
2014-04-22,118.22569942098,122.02842756091,117.55462974922,122.02842756091,3658
2014-04-23,122.02842756091,122.02842756091,120.01521854565,121.13366799857,6040
2014-04-27,121.13366799857,124.48901635733,120.90997810799,122.47580734207,19082
2014-04-28,122.47580734207,122.25211745149,120.46259832682,121.58104777974,17521
2014-04-29,121.58104777974,122.25211745149,117.77831963981,117.77831963981,17504
2014-04-30,117.77831963981,123.37056690441,116.65987018689,122.02842756091,38545
2014-05-04,122.02842756091,122.25211745149,122.25211745149,122.25211745149,146
2014-05-06,122.25211745149,121.13366799857,116.21249040572,121.13366799857,5111
2014-05-07,121.13366799857,122.25211745149,117.77831963981,117.77831963981,3621
2014-05-08,117.77831963981,117.77831963981,114.64666117163,117.10724996806,3062
2014-05-11,117.10724996806,117.10724996806,113.52821171871,114.64666117163,2232
2014-05-12,114.64666117163,115.0940409528,112.63345215637,113.75190160929,6393
2014-05-13,113.75190160929,116.65987018689,112.1860723752,114.87035106221,3367
2014-05-15,114.87035106221,115.0940409528,113.52821171871,114.42297128105,1498
2014-05-18,114.42297128105,114.19928139046,110.62024314112,111.73869259404,2406
2014-05-19,111.73869259404,113.30452182813,111.06762292228,112.40976226579,3738
2014-05-20,112.40976226579,112.63345215637,111.29131281287,112.1860723752,1380
2014-05-21,112.1860723752,112.63345215637,111.29131281287,111.96238248462,1436
2014-05-22,111.96238248462,113.30452182813,111.51500270345,112.40976226579,3420
2014-05-25,112.40976226579,114.64666117163,112.1860723752,112.1860723752,1964
2014-05-26,112.1860723752,113.97559149988,111.29131281287,111.96238248462,2068
2014-05-27,111.96238248462,112.85714204696,111.73869259404,112.63345215637,2651
2014-05-28,112.63345215637,116.4361802963,112.40976226579,115.54142073397,3465
2014-06-01,115.54142073397,115.31773084338,112.63345215637,114.19928139046,3419
2014-06-02,114.19928139046,116.65987018689,112.40976226579,116.65987018689,5675
2014-06-03,116.65987018689,121.80473767032,115.54142073397,117.77831963981,3237
2014-06-04,117.77831963981,115.76511062455,114.42297128105,114.42297128105,4933
2014-06-05,114.42297128105,115.54142073397,112.40976226579,114.64666117163,1460
2014-06-08,114.64666117163,114.87035106221,112.63345215637,113.30452182813,4810
2014-06-09,113.30452182813,113.75190160929,112.63345215637,112.63345215637,3135
2014-06-10,112.63345215637,116.65987018689,112.1860723752,114.64666117163,6762
2014-06-11,114.64666117163,119.3441488739,112.63345215637,116.4361802963,7845
2014-06-12,116.4361802963,118.44938931156,114.42297128105,115.76511062455,5318
2014-06-15,115.76511062455,125.16008602908,115.76511062455,125.16008602908,21646
2014-06-16,125.16008602908,128.06805460668,122.25211745149,126.50222537259,17798
2014-06-17,126.50222537259,128.06805460668,122.25211745149,126.50222537259,13316
2014-06-18,126.50222537259,126.94960515376,125.16008602908,125.60746581025,5595
2014-06-19,125.60746581025,125.60746581025,124.48901635733,124.9363961385,4887
2014-06-23,124.9363961385,125.38377591967,123.37056690441,123.81794668558,2822
